,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,actual,cleared,data_year,offense,ori,state_abbr
161,NEW YORK,MADISON,CANASTOTA,NYDI02100,190,6,2016,larceny,NYDI02100,NY
162,NEW YORK,MADISON,CANASTOTA,NYDI02100,0,0,2016,motor-vehicle-theft,NYDI02100,NY
163,NEW YORK,MADISON,CANASTOTA,NYDI02100,192,6,2016,property-crime,NYDI02100,NY
164,NEW YORK,MADISON,CANASTOTA,NYDI02100,0,0,2016,rape,NYDI02100,NY
165,NEW YORK,MADISON,CANASTOTA,NYDI02100,0,0,2016,rape-legacy,NYDI02100,NY
166,NEW YORK,MADISON,CANASTOTA,NYDI02100,0,0,2016,robbery,NYDI02100,NY
167,NEW YORK,MADISON,CANASTOTA,NYDI02100,10,0,2016,violent-crime,NYDI02100,NY
168,NEW YORK,MADISON,CAZENOVIA,NY0262100,4,0,2016,aggravated-assault,NY0262100,NY
169,NEW YORK,MADISON,CAZENOVIA,NY0262100,0,0,2016,arson,NY0262100,NY
170,NEW YORK,MADISON,CAZENOVIA,NY0262100,5,1,2016,burglary,NY0262100,NY
171,NEW YORK,MADISON,CAZENOVIA,NY0262100,0,0,2016,homicide,NY0262100,NY
172,NEW YORK,MADISON,CAZENOVIA,NY0262100,0,0,2016,human-trafficing,NY0262100,NY
173,NEW YORK,MADISON,CAZENOVIA,NY0262100,17,3,2016,larceny,NY0262100,NY
174,NEW YORK,MADISON,CAZENOVIA,NY0262100,0,0,2016,motor-vehicle-theft,NY0262100,NY
175,NEW YORK,MADISON,CAZENOVIA,NY0262100,22,4,2016,property-crime,NY0262100,NY
176,NEW YORK,MADISON,CAZENOVIA,NY0262100,1,0,2016,rape,NY0262100,NY
177,NEW YORK,MADISON,CAZENOVIA,NY0262100,0,0,2016,rape-legacy,NY0262100,NY
178,NEW YORK,MADISON,CAZENOVIA,NY0262100,0,0,2016,robbery,NY0262100,NY
179,NEW YORK,MADISON,CAZENOVIA,NY0262100,5,0,2016,violent-crime,NY0262100,NY
180,NEW YORK,MADISON,CHITTENANGO,NY0262900,1,1,2016,aggravated-assault,NY0262900,NY
181,NEW YORK,MADISON,CHITTENANGO,NY0262900,0,0,2016,arson,NY0262900,NY
182,NEW YORK,MADISON,CHITTENANGO,NY0262900,3,2,2016,burglary,NY0262900,NY
183,NEW YORK,MADISON,CHITTENANGO,NY0262900,0,0,2016,homicide,NY0262900,NY
184,NEW YORK,MADISON,CHITTENANGO,NY0262900,0,0,2016,human-trafficing,NY0262900,NY
185,NEW YORK,MADISON,CHITTENANGO,NY0262900,8,6,2016,larceny,NY0262900,NY
186,NEW YORK,MADISON,CHITTENANGO,NY0262900,0,0,2016,motor-vehicle-theft,NY0262900,NY
187,NEW YORK,MADISON,CHITTENANGO,NY0262900,11,8,2016,property-crime,NY0262900,NY
