PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,28660,"Killeen-Temple, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,40,7.6,0.308,0.43,36.39,"75,700",2.3,25.64,28.24,31.97,43.11,60.89,"53,320","58,750","66,510","89,680","126,650",,
TX,28660,"Killeen-Temple, TX",33-3012,Correctional Officers and Jailers,detailed,"1,990",4.7,14.493,4.71,19.41,"40,360",4.3,16.79,18.77,19.88,21.09,21.10,"34,920","39,050","41,340","43,870","43,880",,
TX,28660,"Killeen-Temple, TX",33-3021,Detectives and Criminal Investigators,detailed,60,3.3,0.470,0.63,25.40,"52,840",4.8,15.99,17.21,21.94,28.84,39.84,"33,260","35,800","45,640","59,990","82,860",,
TX,28660,"Killeen-Temple, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,990,23.1,7.219,1.54,25.86,"53,800",2.1,17.65,21.05,25.55,29.71,36.00,"36,720","43,790","53,140","61,790","74,890",,
TX,29700,"Laredo, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,50,6.5,0.492,0.69,55.58,"115,600",6.4,28.38,46.65,62.09,68.10,70.10,"59,040","97,040","129,150","141,650","145,810",,
TX,29700,"Laredo, TX",33-3021,Detectives and Criminal Investigators,detailed,"1,180",0.5,12.048,16.11,36.67,"76,280",3.8,21.86,35.36,37.64,38.78,44.48,"45,470","73,540","78,290","80,650","92,510",,
TX,29700,"Laredo, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,860,8.1,8.830,1.89,30.27,"62,960",5.4,18.81,23.00,32.04,37.02,39.92,"39,130","47,830","66,640","77,010","83,030",,
TX,30980,"Longview, TX",33-3021,Detectives and Criminal Investigators,detailed,60,4.0,0.643,0.86,23.56,"49,000",1.9,16.58,19.72,22.39,26.26,34.09,"34,480","41,010","46,580","54,630","70,900",,
TX,30980,"Longview, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,520,11.2,5.396,1.15,24.35,"50,640",3.2,15.94,18.69,23.24,29.15,35.60,"33,160","38,880","48,330","60,620","74,040",,
TX,30980,"Longview, TX",33-9021,Private Detectives and Investigators,detailed,**,**,**,**,20.58,"42,810",22.2,12.55,14.13,22.37,26.82,28.88,"26,100","29,380","46,540","55,790","60,070",,
TX,31180,"Lubbock, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,30,5.9,0.229,0.32,46.27,"96,240",3.5,23.57,31.20,46.66,57.09,65.97,"49,030","64,900","97,040","118,740","137,220",,
TX,31180,"Lubbock, TX",33-3021,Detectives and Criminal Investigators,detailed,220,0.6,1.542,2.06,29.17,"60,670",6.7,17.02,22.07,27.96,34.87,40.96,"35,410","45,920","58,160","72,530","85,200",,
