,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
961, OH,Dayton,Police and Sheriff's Patrol Officers,"1,600",4.317,29.55,"61,470",29.73,"61,830"
962, OH,Dayton,Private Detectives and Investigators,**,**,24.97,"51,930",23.75,"49,390"
963, OH,Lima,Correctional Officers and Jailers,360,7.448,21.29,"44,280",22.23,"46,240"
964, OH,Lima,Police and Sheriff's Patrol Officers,270,5.683,25.96,"53,990",24.88,"51,760"
965, OH,Mansfield,Police and Sheriff's Patrol Officers,200,3.931,25.12,"52,250",26.27,"54,630"
966, OH,Springfield,Police and Sheriff's Patrol Officers,160,3.397,23.61,"49,110",22.00,"45,770"
967, OH,Toledo,First-Line Supervisors of Police and Detectives,120,0.400,38.94,"80,990",40.56,"84,360"
968, OH,Toledo,Correctional Officers and Jailers,530,1.748,19.79,"41,170",19.55,"40,660"
969, OH,Toledo,Detectives and Criminal Investigators,130,0.429,31.45,"65,410",29.14,"60,610"
970, OH,Toledo,Police and Sheriff's Patrol Officers,"1,640",5.455,26.42,"54,950",27.13,"56,440"
971, OH,Toledo,Private Detectives and Investigators,**,**,19.15,"39,830",18.80,"39,110"
972, OH-PA,Youngstown-Warren-Boardman,First-Line Supervisors of Police and Detectives,140,0.651,33.45,"69,580",33.40,"69,460"
973, OH-PA,Youngstown-Warren-Boardman,Detectives and Criminal Investigators,80,0.371,31.52,"65,570",32.40,"67,380"
974, OH-PA,Youngstown-Warren-Boardman,Police and Sheriff's Patrol Officers,"1,340",6.193,21.75,"45,230",21.92,"45,590"
975, OH-PA,Youngstown-Warren-Boardman,Private Detectives and Investigators,130,0.592,17.46,"36,320",17.14,"35,660"
976, OK,Lawton,First-Line Supervisors of Police and Detectives,160,3.603,28.77,"59,830",27.71,"57,630"
977, OK,Lawton,Correctional Officers and Jailers,40,0.822,14.97,"31,140",14.80,"30,780"
978, OK,Lawton,Police and Sheriff's Patrol Officers,270,6.089,18.20,"37,850",17.17,"35,710"
979, OK,Oklahoma City,First-Line Supervisors of Police and Detectives,**,**,38.25,"79,550",38.11,"79,270"
980, OK,Oklahoma City,Correctional Officers and Jailers,"1,180",1.944,19.92,"41,440",18.70,"38,900"
981, OK,Oklahoma City,Detectives and Criminal Investigators,450,0.749,34.56,"71,880",32.00,"66,560"
982, OK,Oklahoma City,Police and Sheriff's Patrol Officers,"1,950",3.205,23.99,"49,890",22.71,"47,230"
983, OK,Oklahoma City,Private Detectives and Investigators,**,**,29.03,"60,380",26.36,"54,830"
984, OK,Tulsa,First-Line Supervisors of Police and Detectives,390,0.909,32.54,"67,680",31.91,"66,380"
985, OK,Tulsa,Correctional Officers and Jailers,520,1.196,14.45,"30,050",14.19,"29,520"
986, OK,Tulsa,Detectives and Criminal Investigators,140,0.317,36.63,"76,200",30.16,"62,730"
