,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
151,Sitka City and Borough,Alaska,8921.0,39.1,70160.0,35655.0,796.0,8.922766505997085,224.0,23.0,13.0,4.035422037888129,2.5109292680192805
152,Skagway Municipality,Alaska,1014.0,44.1,64853.0,39412.0,53.0,5.226824457593688,50.0,10.0,3.0,12.82051282051282,4.930966469428008
153,Southeast Fairbanks Census Area,Alaska,6970.0,36.4,63713.0,30757.0,941.0,13.500717360114777,312.0,34.0,13.0,6.743185078909613,4.476327116212339
154,Valdez-Cordova Census Area,Alaska,9522.0,37.6,82511.0,35457.0,802.0,8.42260029405587,446.0,44.0,150.0,20.37387103549674,4.683889939088426
155,Wrangell City and Borough,Alaska,2401.0,48.8,52986.0,29782.0,237.0,9.870887130362348,85.0,4.0,10.0,5.830903790087463,3.540191586838817
156,Yakutat City and Borough,Alaska,646.0,40.5,66875.0,31084.0,51.0,7.894736842105263,28.0,7.0,1.0,12.38390092879257,4.3343653250774
157,Yukon-Koyukuk Census Area,Alaska,5600.0,35.2,38451.0,20812.0,1304.0,23.285714285714285,470.0,11.0,0.0,1.9642857142857144,8.392857142857142
158,Apache,Arizona,72346.0,33.5,32460.0,13428.0,25658.0,35.465678821220244,3428.0,254.0,231.0,6.703895170430984,4.738340751389158
159,Cochise,Arizona,128177.0,40.3,45383.0,23757.0,22184.0,17.307317225399252,4022.0,1411.0,246.0,12.927436279519727,3.1378484439486023
160,Coconino,Arizona,138064.0,30.7,51106.0,24711.0,28193.0,20.420239888747247,5859.0,465.0,97.0,4.0705759647699615,4.243684088538649
161,Gila,Arizona,53179.0,48.9,40593.0,21470.0,11097.0,20.867259632561726,2487.0,264.0,54.0,5.9798040579928164,4.676658079317023
162,Graham,Arizona,37529.0,32.4,47422.0,17710.0,7419.0,19.768712195901834,2025.0,381.0,70.0,12.017373231367742,5.395827226944496
163,Greenlee,Arizona,9224.0,33.3,51813.0,23778.0,1216.0,13.183000867302688,347.0,82.0,15.0,10.516045099739808,3.761925411968777
164,La Paz,Arizona,20304.0,55.1,36321.0,21447.0,4243.0,20.89736012608353,752.0,207.0,19.0,11.130811662726558,3.7037037037037033
165,Maricopa,Arizona,4088549.0,35.8,55676.0,28791.0,666513.0,16.301944773072304,136703.0,11703.0,3535.0,3.726994589033909,3.343557824548513
166,Mohave,Arizona,203629.0,49.7,39856.0,22026.0,37884.0,18.604422749215484,8885.0,632.0,153.0,3.855050115651504,4.363327423893453
167,Navajo,Arizona,108209.0,35.8,36868.0,16564.0,31575.0,29.179643098078717,7359.0,520.0,123.0,5.942204437708509,6.800728220388323
168,Pima,Arizona,1003338.0,38.1,46764.0,26204.0,186299.0,18.567920282098356,43458.0,6608.0,1394.0,7.975378187609759,4.331341980469194
169,Pinal,Arizona,397604.0,38.3,51190.0,21982.0,61430.0,15.450045774187382,14670.0,3492.0,1143.0,11.657327391072524,3.6896007082423714
170,Santa Cruz,Arizona,46547.0,36.4,38941.0,18860.0,10083.0,21.661976067200893,1879.0,339.0,11.0,7.519281586353578,4.036780028788107
171,Yavapai,Arizona,218586.0,51.9,46638.0,26584.0,31512.0,14.416293815706403,7730.0,506.0,202.0,3.238999752957646,3.5363655494862436
172,Yuma,Arizona,203292.0,34.0,41467.0,19483.0,40330.0,19.838458965429037,10368.0,2342.0,354.0,13.261712216909668,5.100053125553392
173,Arkansas,Arkansas,18569.0,41.2,37330.0,23287.0,3587.0,19.317141472346385,806.0,110.0,21.0,7.054768700522375,4.340567612687813
174,Ashley,Arkansas,20989.0,41.5,36352.0,20290.0,4131.0,19.681738053265995,894.0,106.0,6.0,5.336128448234789,4.259373957787412
175,Baxter,Arkansas,40992.0,51.8,38115.0,23068.0,5600.0,13.66120218579235,1016.0,61.0,26.0,2.1223653395784545,2.4785323965651833
176,Benton,Arkansas,245231.0,35.1,59016.0,28996.0,27562.0,11.239198959348533,4098.0,501.0,118.0,2.5241506987289535,1.6710774738919631
177,Boone,Arkansas,37301.0,42.4,38664.0,21719.0,6409.0,17.181844990750918,1404.0,129.0,0.0,3.458352322994022,3.763974156188842
178,Bradley,Arkansas,11096.0,40.9,34665.0,20465.0,3163.0,28.505767844268206,498.0,34.0,4.0,3.4246575342465753,4.488103821196828
179,Calhoun,Arkansas,5210.0,44.9,35446.0,21093.0,969.0,18.598848368522074,162.0,0.0,0.0,0.0,3.109404990403071
180,Union,Arkansas,40334.0,39.5,39836.0,22240.0,8220.0,20.379828432587892,1602.0,135.0,42.0,4.388357217236079,3.9718351762780784
181,Van Buren,Arkansas,16892.0,47.2,34576.0,19883.0,3084.0,18.257163154155812,745.0,46.0,0.0,2.723182571631541,4.410371773620649
182,Washington,Arkansas,219930.0,31.4,45442.0,25249.0,40272.0,18.311280862092485,5742.0,609.0,82.0,3.1419087891601873,2.6108307188650937
183,White,Arkansas,78823.0,36.1,42197.0,22510.0,13201.0,16.747649797647895,2160.0,454.0,246.0,8.88065666112683,2.7403169125762785
184,Woodruff,Arkansas,6873.0,43.8,30383.0,18382.0,1622.0,23.59959260875891,357.0,9.0,7.0,2.327949949076095,5.194238323876037
185,Yell,Arkansas,21716.0,39.3,39323.0,18981.0,3738.0,17.21311475409836,639.0,33.0,11.0,2.0261558298029105,2.9425308528274083
186,Alameda,California,1605217.0,37.2,79831.0,39042.0,189590.0,11.810864200914892,61327.0,2522.0,654.0,1.9785486946624662,3.8204803462709402
187,Alpine,California,1184.0,42.8,62375.0,26783.0,221.0,18.66554054054054,55.0,8.0,5.0,10.97972972972973,4.64527027027027
188,Amador,California,36963.0,50.3,57032.0,27496.0,3684.0,9.966723480236993,1677.0,295.0,93.0,10.496983469956444,4.536969401834267
189,Butte,California,223877.0,36.9,44366.0,25077.0,46456.0,20.750680060926314,10933.0,588.0,46.0,2.8319121660554676,4.88348512799439
190,Calaveras,California,44787.0,51.2,53502.0,30577.0,5641.0,12.595172706365686,1758.0,133.0,105.0,5.314042021122201,3.9252461651818606
191,Colusa,California,21361.0,34.7,54946.0,25745.0,2859.0,13.384204859323065,871.0,36.0,29.0,3.0429287018398012,4.077524460465335
192,Contra Costa,California,1107925.0,39.1,82881.0,40792.0,111922.0,10.101947333980188,43374.0,3317.0,816.0,3.730396913148453,3.9148859354198167
193,Del Norte,California,27628.0,38.1,42363.0,20282.0,5219.0,18.89025626176343,1041.0,573.0,58.0,22.83914868973505,3.7679166063413927
194,El Dorado,California,183000.0,45.2,72586.0,37089.0,17839.0,9.748087431693989,8506.0,981.0,165.0,6.2622950819672125,4.648087431693989
195,Fresno,California,963160.0,31.6,45963.0,21057.0,254872.0,26.462062378005733,51478.0,3880.0,830.0,4.890153245566677,5.34469870011213
196,Glenn,California,27976.0,36.9,41699.0,20362.0,5578.0,19.93851873034029,1172.0,44.0,9.0,1.8944809837003147,4.189305118673149
